source_lang,target_lang,source_text,target_text
en,hi,We eat tea in the school.,हम स्कूल में चाय पीते हैं.
hi,en,हम स्कूल में चाय पीते हैं.,We eat tea in the school.
en,pa,We eat tea in the school.,ਅਸੀਂ ਸਕੂਲ ਵਿੱਚ ਚਾਹ ਖਾਂਦੇ ਹਾਂ।
pa,en,ਅਸੀਂ ਸਕੂਲ ਵਿੱਚ ਚਾਹ ਖਾਂਦੇ ਹਾਂ।,We eat tea in the school.
hi,pa,हम स्कूल में चाय पीते हैं.,ਅਸੀਂ ਸਕੂਲ ਵਿੱਚ ਚਾਹ ਖਾਂਦੇ ਹਾਂ।
pa,hi,ਅਸੀਂ ਸਕੂਲ ਵਿੱਚ ਚਾਹ ਖਾਂਦੇ ਹਾਂ।,हम स्कूल में चाय पीते हैं.
en,hi,I want books in the restaurant.,मुझे रेस्तरां में किताबें चाहिए।
hi,en,मुझे रेस्तरां में किताबें चाहिए।,I want books in the restaurant.
en,pa,I want books in the restaurant.,ਮੈਨੂੰ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਿਤਾਬਾਂ ਚਾਹੀਦੀਆਂ ਹਨ।
pa,en,ਮੈਨੂੰ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਿਤਾਬਾਂ ਚਾਹੀਦੀਆਂ ਹਨ।,I want books in the restaurant.
hi,pa,मुझे रेस्तरां में किताबें चाहिए।,ਮੈਨੂੰ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਿਤਾਬਾਂ ਚਾਹੀਦੀਆਂ ਹਨ।
pa,hi,ਮੈਨੂੰ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਿਤਾਬਾਂ ਚਾਹੀਦੀਆਂ ਹਨ।,मुझे रेस्तरां में किताबें चाहिए।
en,hi,You visit cars in the restaurant.,आप रेस्तरां में कारों का दौरा करते हैं।
hi,en,आप रेस्तरां में कारों का दौरा करते हैं।,You visit cars in the restaurant.
en,pa,You visit cars in the restaurant.,ਤੁਸੀਂ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਾਰਾਂ ਦਾ ਦੌਰਾ ਕਰਦੇ ਹੋ।
pa,en,ਤੁਸੀਂ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਾਰਾਂ ਦਾ ਦੌਰਾ ਕਰਦੇ ਹੋ।,You visit cars in the restaurant.
hi,pa,आप रेस्तरां में कारों का दौरा करते हैं।,ਤੁਸੀਂ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਾਰਾਂ ਦਾ ਦੌਰਾ ਕਰਦੇ ਹੋ।
pa,hi,ਤੁਸੀਂ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਾਰਾਂ ਦਾ ਦੌਰਾ ਕਰਦੇ ਹੋ।,आप रेस्तरां में कारों का दौरा करते हैं।
en,hi,You like coffee in the home.,आपको घर में कॉफ़ी पसंद है.
hi,en,आपको घर में कॉफ़ी पसंद है.,You like coffee in the home.
en,pa,You like coffee in the home.,ਤੁਹਾਨੂੰ ਘਰ ਵਿੱਚ ਕੌਫੀ ਪਸੰਦ ਹੈ।
pa,en,ਤੁਹਾਨੂੰ ਘਰ ਵਿੱਚ ਕੌਫੀ ਪਸੰਦ ਹੈ।,You like coffee in the home.
hi,pa,आपको घर में कॉफ़ी पसंद है.,ਤੁਹਾਨੂੰ ਘਰ ਵਿੱਚ ਕੌਫੀ ਪਸੰਦ ਹੈ।
pa,hi,ਤੁਹਾਨੂੰ ਘਰ ਵਿੱਚ ਕੌਫੀ ਪਸੰਦ ਹੈ।,आपको घर में कॉफ़ी पसंद है.
en,hi,I watch music in the city.,मैं शहर में संगीत देखता हूं।
hi,en,मैं शहर में संगीत देखता हूं।,I watch music in the city.
